Command,VP address,,,Start address,,End address,
,DEC,HEX,,DEC,HEX,DEC,HEX
1,32768,0x8000,,0,0x0000,239,0x00EF
2,32888,0x8078,,240,0x00F0,479,0x01DF
3,33008,0x80F0,,480,0x01E0,719,0x02CF
4,33128,0x8168,,720,0x02D0,959,0x03BF
5,33248,0x81E0,,960,0x03C0,1199,0x04AF
6,33368,0x8258,,1200,0x04B0,1439,0x059F
7,33488,0x82D0,,1440,0x05A0,1679,0x068F
8,33608,0x8348,,1680,0x0690,1919,0x077F
9,33728,0x83C0,,1920,0x0780,2159,0x086F
10,33848,0x8438,,2160,0x0870,2399,0x095F
11,33968,0x84B0,,2400,0x0960,2639,0x0A4F
12,34088,0x8528,,2640,0x0A50,2879,0x0B3F
13,34208,0x85A0,,2880,0x0B40,3119,0x0C2F
14,34328,0x8618,,3120,0x0C30,3359,0x0D1F
15,34448,0x8690,,3360,0x0D20,3599,0x0E0F
16,34568,0x8708,,3600,0x0E10,3839,0x0EFF
17,34688,0x8780,,3840,0x0F00,4079,0x0FEF
18,34808,0x87F8,,4080,0x0FF0,4319,0x10DF
19,34928,0x8870,,4320,0x10E0,4559,0x11CF
20,35048,0x88E8,,4560,0x11D0,4799,0x12BF
21,35168,0x8960,,4800,0x12C0,5039,0x13AF
22,35288,0x89D8,,5040,0x13B0,5279,0x149F
23,35408,0x8A50,,5280,0x14A0,5519,0x158F
24,35528,0x8AC8,,5520,0x1590,5759,0x167F
25,35648,0x8B40,,5760,0x1680,5999,0x176F
26,35768,0x8BB8,,6000,0x1770,6239,0x185F
27,35888,0x8C30,,6240,0x1860,6479,0x194F
28,36008,0x8CA8,,6480,0x1950,6719,0x1A3F
29,36128,0x8D20,,6720,0x1A40,6959,0x1B2F
30,36248,0x8D98,,6960,0x1B30,7199,0x1C1F
31,36368,0x8E10,,7200,0x1C20,7439,0x1D0F
32,36488,0x8E88,,7440,0x1D10,7679,0x1DFF
33,36608,0x8F00,,7680,0x1E00,7919,0x1EEF
34,36728,0x8F78,,7920,0x1EF0,8159,0x1FDF
35,36848,0x8FF0,,8160,0x1FE0,8399,0x20CF
36,36968,0x9068,,8400,0x20D0,8639,0x21BF
